+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|                  eth_rxc |                  eth_rxc |                                                                u_icmp/u_icmp_rx/icmp_rx_data_d0_reg[6]/CE|
|                  eth_rxc |                  eth_rxc |                                                                u_icmp/u_icmp_rx/icmp_rx_data_d0_reg[3]/CE|
|                  eth_rxc |                  eth_rxc |                                                                u_icmp/u_icmp_rx/icmp_rx_data_d0_reg[2]/CE|
|                  eth_rxc |                  eth_rxc |                                                                u_icmp/u_icmp_rx/icmp_rx_data_d0_reg[4]/CE|
|                  eth_rxc |                  eth_rxc |                                                                u_icmp/u_icmp_rx/icmp_rx_data_d0_reg[1]/CE|
|                  eth_rxc |                  eth_rxc |                                                                u_icmp/u_icmp_rx/icmp_rx_data_d0_reg[0]/CE|
|                  eth_rxc |                  eth_rxc |                                                            u_icmp/u_icmp_rx/reply_checksum_add_reg[31]/CE|
|                  eth_rxc |                  eth_rxc |                                                            u_icmp/u_icmp_rx/reply_checksum_add_reg[20]/CE|
|                  eth_rxc |                  eth_rxc |                                                            u_icmp/u_icmp_rx/reply_checksum_add_reg[25]/CE|
|                  eth_rxc |                  eth_rxc |                                                            u_icmp/u_icmp_rx/reply_checksum_add_reg[30]/CE|
|                  eth_rxc |                  eth_rxc |                                                            u_icmp/u_icmp_rx/reply_checksum_add_reg[21]/CE|
|                  eth_rxc |                  eth_rxc |                                                            u_icmp/u_icmp_rx/reply_checksum_add_reg[16]/CE|
|                  eth_rxc |                  eth_rxc |                                                            u_icmp/u_icmp_rx/reply_checksum_add_reg[23]/CE|
|                  eth_rxc |                  eth_rxc |                                                            u_icmp/u_icmp_rx/reply_checksum_add_reg[19]/CE|
|                  eth_rxc |                  eth_rxc |                                                            u_icmp/u_icmp_rx/reply_checksum_add_reg[12]/CE|
|                  eth_rxc |                  eth_rxc |                                                            u_icmp/u_icmp_rx/reply_checksum_add_reg[13]/CE|
|                  eth_rxc |                  eth_rxc |                                                            u_icmp/u_icmp_rx/reply_checksum_add_reg[18]/CE|
|                  eth_rxc |                  eth_rxc |                                                             u_icmp/u_icmp_rx/reply_checksum_add_reg[8]/CE|
|                  eth_rxc |                  eth_rxc |                                                             u_icmp/u_icmp_rx/reply_checksum_add_reg[9]/CE|
|                  eth_rxc |                  eth_rxc |                                                             u_icmp/u_icmp_rx/reply_checksum_add_reg[7]/CE|
|                  eth_rxc |                  eth_rxc |                                                             u_icmp/u_icmp_rx/reply_checksum_add_reg[3]/CE|
|                  eth_rxc |                  eth_rxc |                                                             u_icmp/u_icmp_rx/reply_checksum_add_reg[5]/CE|
|                  eth_rxc |                  eth_rxc |                                                             u_icmp/u_icmp_rx/reply_checksum_add_reg[6]/CE|
|                  eth_rxc |                  eth_rxc |                                                             u_icmp/u_icmp_rx/reply_checksum_add_reg[1]/CE|
|                  eth_rxc |                  eth_rxc |                                                                             u_udp/u_udp_rx/error_en_reg/D|
|                  eth_rxc |                  eth_rxc |                                                              u_icmp/u_icmp_rx/reply_checksum_add_reg[3]/D|
|                  eth_rxc |                  eth_rxc |                                                              u_icmp/u_icmp_rx/reply_checksum_add_reg[7]/D|
|                  eth_rxc |                  eth_rxc |                                                              u_icmp/u_icmp_rx/reply_checksum_add_reg[2]/D|
|                  eth_rxc |                  eth_rxc |                                                                             u_icmp/u_icmp_rx/rec_en_reg/D|
|                  eth_rxc |                  eth_rxc |                                                                    u_icmp/u_icmp_rx/icmp_rx_cnt_reg[15]/D|
|                  eth_rxc |                  eth_rxc |                                                                       u_icmp/u_icmp_rx/rec_pkt_done_reg/D|
|                  eth_rxc |                  eth_rxc |                                                                    u_icmp/u_icmp_rx/icmp_rx_cnt_reg[13]/D|
|                  eth_rxc |                  eth_rxc |                                                                        u_arp/u_arp_rx/src_ip_t_reg[31]/CE|
|                  eth_rxc |                  eth_rxc |                                                                         u_arp/u_arp_rx/src_ip_t_reg[2]/CE|
|                  eth_rxc |                  eth_rxc |                                                                         u_arp/u_arp_rx/src_ip_t_reg[1]/CE|
|                  eth_rxc |                  eth_rxc |                                                                         u_arp/u_arp_rx/src_ip_t_reg[3]/CE|
|                  eth_rxc |                  eth_rxc |                                                                         u_arp/u_arp_rx/src_ip_t_reg[0]/CE|
|                  eth_rxc |                  eth_rxc |                                                                         u_arp/u_arp_rx/src_ip_t_reg[4]/CE|
